Age,Gender,Occasion,Preferences,Hobbies,Job,Past Gifts,Price Range,Suggested Gifts
48,Other,Festival,Art,Gardening,Psychologist,Fitness Tracker,₹500-₹2000,Sports Jersey
6,Male,Baby Shower,Adventure,Dancing,Athlete,Pet Accessories,"₹5000-₹10,000",Portable Speaker
16,Non-binary,Farewell,Adventure,Singing,Researcher,Candle Set,₹500-₹2000,Gift Card
49,Prefer not to say,Corporate,Eco-friendly,Travel Blogging,Student,Pet Accessories,₹100-₹500,Luxury Pen
51,Male,Appreciation,Fitness,Podcasting,Fashion Designer,Drone,"₹20,000+",Customized Notebook
26,Prefer not to say,Success,Productivity,Gaming,Engineer,Wireless Charger,₹100-₹500,Comic Books
10,Female,Festival,Self-care,Woodworking,Therapist,Candle Set,"₹5000-₹10,000",Succulent Plant Set
59,Prefer not to say,Festival,DIY,Yoga,Chef,Book,₹500-₹2000,Camping Gear
14,Female,Success,Art,Fishing,Scientist,Personalized Mug,"₹5000-₹10,000",Customized Notebook
7,Non-binary,Farewell,Gourmet,Martial Arts,Engineer,Candle Set,"₹10,000-₹20,000",Luxury Pen
68,Female,Appreciation,Self-care,Painting,Artist,Perfume,"₹5000-₹10,000",Action Figures
8,Prefer not to say,Festival,DIY,Reading,Actor,Sunglasses,₹100-₹500,Massage Gun
61,Female,Anniversary,Fitness,Astrophotography,Fashion Designer,Portable Speaker,"₹20,000+",Shoes
52,Prefer not to say,Retirement,Music,Photography,Pilot,Drone,"₹20,000+",Jewelry
16,Other,Baby Shower,Anime & Comics,Podcasting,Veterinarian,Portable Speaker,₹2000-₹5000,Wireless Charger
78,Male,Farewell,Spirituality,Astrophotography,Psychologist,Candle Set,"₹20,000+",Drone
52,Prefer not to say,Acheivement,Tech,Photography,Astronomer,Book,₹2000-₹5000,Massage Gun
70,Female,Festival,Luxury,Martial Arts,Researcher,Book,₹2000-₹5000,Coffee Maker
42,Female,Milestone Hitting,Spirituality,Woodworking,Therapist,Candle Set,₹100-₹500,Laptop Stand
62,Non-binary,Appreciation,Home Decor,Robotics,Astronomer,Sunglasses,"₹20,000+",Mini Projector
24,Male,Anniversary,Eco-friendly,Dancing,Designer,Jewelry,"₹10,000-₹20,000",VR Headset
48,Male,Baby Shower,Tech,Painting,Therapist,Limited Edition Sneakers,"₹5000-₹10,000",Succulent Plant Set
31,Non-binary,Anniversary,Science & Space,Podcasting,Athlete,Skincare Set,₹500-₹2000,Handbag
26,Non-binary,Milestone Hitting,Gourmet,Cooking,Designer,Gift Card,"₹5000-₹10,000",Handbag
31,Other,Housewarming,Art,Podcasting,Musician,Luxury Pen,₹100-₹500,Fitness Tracker
59,Male,Festival,Adventure,Martial Arts,Engineer,Limited Edition Sneakers,₹500-₹2000,Handbag
64,Male,Appreciation,Spirituality,Cycling,Psychologist,Limited Edition Sneakers,₹100-₹500,Smart Home Device
28,Non-binary,Acheivement,Collectibles,Photography,Engineer,Smartwatch,"₹10,000-₹20,000",Book
10,Other,Housewarming,Fitness,Dancing,Business Owner,Limited Edition Sneakers,₹100-₹500,Book
54,Male,Festival,Art,Meditation,Teacher,VR Headset,₹100-₹500,Drone
70,Prefer not to say,Corporate,Travel,Travel Blogging,Scientist,VR Headset,₹100-₹500,Tea Collection Set
62,Male,Festival,Travel,Writing,Designer,Drone,"₹20,000+",Running Shoes
34,Other,Housewarming,Gaming,Dancing,Doctor,Board Game,₹500-₹2000,Board Game
25,Male,Farewell,Art,Gaming,Lawyer,Sports Jersey,"₹5000-₹10,000",Personalized Keychain
14,Prefer not to say,Appreciation,Art,Robotics,Psychologist,Skincare Set,₹100-₹500,Leather Wallet
28,Female,Anniversary,Collectibles,Gaming,Lawyer,VR Headset,₹100-₹500,Limited Edition Sneakers
55,Prefer not to say,Success,Anime & Comics,Photography,Writer,Concert Tickets,₹500-₹2000,Laptop Stand
22,Female,Retirement,Music,Knitting,Astronomer,Sunglasses,"₹5000-₹10,000",Vinyl Records
15,Other,Graduation,Books,Podcasting,Musician,Perfume,₹500-₹2000,Luxury Pen
21,Prefer not to say,Bachelorette,Spirituality,Gardening,Designer,Coffee Maker,₹2000-₹5000,Backpack
20,Male,Corporate,Anime & Comics,Singing,Athlete,Book,₹2000-₹5000,Personalized Keychain
43,Female,Anniversary,Eco-friendly,Archery,Lawyer,Customized Notebook,₹2000-₹5000,Board Game
38,Non-binary,Anniversary,Tech,Astrophotography,Scientist,Gift Card,₹500-₹2000,Smartwatch
11,Other,Festival,Fitness,Woodworking,Biotechnologist,Gift Card,₹500-₹2000,Handmade Soap Set
63,Other,Birthday,Science & Space,Fishing,Biotechnologist,Board Game,"₹20,000+",Running Shoes
30,Non-binary,Birthday,Luxury,Martial Arts,Biotechnologist,Backpack,₹100-₹500,Wireless Charger
17,Female,Anniversary,Science & Space,Writing,Therapist,Book,"₹10,000-₹20,000",Laptop Stand
72,Male,Milestone Hitting,Gaming,Yoga,Astronomer,Sports Jersey,₹2000-₹5000,Smart Speaker
34,Prefer not to say,Success,Productivity,Reading,Scientist,Candle Set,₹500-₹2000,Coffee Maker
29,Female,Festival,Science & Space,Car Collecting,Freelancer,Drone,"₹20,000+",Coffee Maker
76,Prefer not to say,Graduation,Science & Space,Gaming,Veterinarian,Personalized Mug,₹2000-₹5000,Cooking Kit
56,Non-binary,Festival,Art,Car Collecting,Actor,Skincare Set,₹2000-₹5000,Laptop Stand
22,Prefer not to say,Bachelorette,Adventure,Astrophotography,Scientist,Customized Notebook,₹2000-₹5000,Personalized Mug
28,Other,Festival,Books,Fishing,Student,Drone,"₹10,000-₹20,000",Candle Set
74,Prefer not to say,Milestone Hitting,Adventure,Car Collecting,Researcher,Fitness Tracker,"₹5000-₹10,000",Vinyl Records
9,Non-binary,Success,Productivity,Woodworking,Student,Concert Tickets,"₹20,000+",Noise-Canceling Headphones
23,Female,Wedding,Gaming,Meditation,Lawyer,Sunglasses,"₹10,000-₹20,000",Personalized Mug
18,Female,Festival,Fashion,Reading,Pilot,Handbag,₹100-₹500,Book
23,Female,Success,Home Decor,Singing,Engineer,Gift Card,₹500-₹2000,VR Headset
80,Other,Festival,Collectibles,Singing,Freelancer,Luxury Pen,₹2000-₹5000,Action Figures
16,Non-binary,Bachelorette,Science & Space,Writing,Stock Trader,Headphones,₹500-₹2000,Gift Card
10,Non-binary,Wedding,Music,Writing,Student,Drone,"₹20,000+",Bluetooth Earbuds
8,Male,Corporate,Tech,Singing,Athlete,Customized Notebook,₹500-₹2000,Gift Card
74,Male,Anniversary,Tech,Car Collecting,Stock Trader,Fitness Tracker,"₹10,000-₹20,000",Headphones
18,Other,Retirement,Gaming,Fishing,Politician,Subscription Box,₹100-₹500,Handbag
71,Prefer not to say,Baby Shower,Home Decor,Astrophotography,Doctor,Shoes,"₹20,000+",Massage Gun
8,Female,Appreciation,Gourmet,Singing,Entrepreneur,Customized Notebook,"₹10,000-₹20,000",Leather Wallet
41,Other,Baby Shower,Home Decor,Yoga,Chef,Portable Speaker,₹500-₹2000,Comic Books
21,Female,Wedding,Fitness,Travel Blogging,Psychologist,Perfume,₹100-₹500,Luxury Pen
6,Prefer not to say,Bachelorette,Books,Archery,Astronomer,Headphones,"₹5000-₹10,000",Vinyl Records
24,Female,Success,Adventure,Baking,Stock Trader,Personalized Mug,"₹5000-₹10,000",Book
58,Male,Wedding,Eco-friendly,Reading,Pilot,Skincare Set,₹100-₹500,Personalized Mug
60,Male,Festival,Art,Knitting,Entrepreneur,Handbag,₹500-₹2000,Succulent Plant Set
54,Non-binary,Graduation,Books,Robotics,Veterinarian,Skincare Set,"₹5000-₹10,000",Painting Kit
55,Other,Acheivement,Music,Archery,Veterinarian,Backpack,₹100-₹500,Subscription Box
62,Non-binary,Appreciation,Spirituality,Baking,Designer,Jewelry,"₹5000-₹10,000",Shoes
37,Male,Bachelorette,Anime & Comics,Cooking,Astronomer,Concert Tickets,₹100-₹500,Bluetooth Earbuds
57,Male,Birthday,Productivity,Dancing,Researcher,Limited Edition Sneakers,"₹5000-₹10,000",Limited Edition Sneakers
12,Female,Graduation,Fashion,Woodworking,Politician,Gaming Console,"₹10,000-₹20,000",Handbag
58,Other,Retirement,Collectibles,Gardening,Athlete,Backpack,"₹10,000-₹20,000",Backpack
14,Male,Wedding,Fitness,Fishing,Researcher,Candle Set,"₹20,000+",Pet Accessories
64,Male,Birthday,Adventure,Knitting,Artist,Luxury Pen,"₹20,000+",Noise-Canceling Headphones
54,Male,Anniversary,Tech,Yoga,Student,Sports Jersey,"₹10,000-₹20,000",Personalized Mug
29,Prefer not to say,Anniversary,Fashion,Podcasting,Stock Trader,Backpack,"₹20,000+",Drone
19,Prefer not to say,Festival,Anime & Comics,Cooking,Psychologist,Customized Notebook,₹2000-₹5000,Handmade Soap Set
7,Male,Housewarming,Home Decor,Fishing,Pilot,Concert Tickets,₹500-₹2000,Gaming Console
34,Female,Birthday,Eco-friendly,Woodworking,Teacher,Fitness Tracker,"₹20,000+",Massage Gun
50,Male,Milestone Hitting,Pets,Dancing,Student,Board Game,"₹5000-₹10,000",Smart Home Device
41,Non-binary,Retirement,Art,Knitting,Fashion Designer,Fitness Tracker,₹500-₹2000,Leather Wallet
35,Prefer not to say,Acheivement,Anime & Comics,Calligraphy,Politician,Luxury Pen,"₹5000-₹10,000",Sports Jersey
30,Non-binary,Milestone Hitting,Gaming,Sports,Politician,Fitness Tracker,"₹20,000+",Subscription Box
69,Prefer not to say,Anniversary,Eco-friendly,Martial Arts,Chef,Customized Notebook,₹2000-₹5000,Perfume
51,Other,Acheivement,Tech,Meditation,Actor,Subscription Box,"₹10,000-₹20,000",Running Shoes
59,Female,Appreciation,Spirituality,Podcasting,Business Owner,Limited Edition Sneakers,₹2000-₹5000,Limited Edition Sneakers
78,Other,Retirement,Productivity,Baking,Researcher,Backpack,"₹10,000-₹20,000",Handmade Soap Set
20,Other,Wedding,Gaming,Gaming,Researcher,Subscription Box,₹2000-₹5000,Perfume
20,Male,Success,Science & Space,Singing,Freelancer,Fitness Tracker,"₹10,000-₹20,000",Cooking Kit
23,Female,Success,Gaming,Cooking,Teacher,Sunglasses,"₹20,000+",Limited Edition Sneakers
30,Other,Baby Shower,Home Decor,Cycling,Artist,Board Game,₹2000-₹5000,Book
65,Non-binary,Corporate,Music,Astrophotography,Scientist,Subscription Box,₹2000-₹5000,Succulent Plant Set
56,Female,Birthday,Fitness,Woodworking,Athlete,Portable Speaker,"₹20,000+",Tea Collection Set
28,Non-binary,Baby Shower,Spirituality,Fishing,Actor,Skincare Set,"₹5000-₹10,000",Jewelry
76,Female,Farewell,Spirituality,Podcasting,Business Owner,Concert Tickets,₹500-₹2000,Tea Collection Set
54,Other,Farewell,DIY,Martial Arts,Researcher,Luxury Pen,₹100-₹500,Gaming Console
10,Other,Acheivement,Science & Space,Robotics,Musician,Coffee Maker,"₹10,000-₹20,000",Noise-Canceling Headphones
30,Male,Wedding,Travel,Gaming,Stock Trader,Sports Jersey,₹500-₹2000,Jewelry
20,Female,Graduation,Self-care,Gaming,Astronomer,Jewelry,₹2000-₹5000,Puzzle Set
69,Other,Anniversary,Books,Martial Arts,Biotechnologist,Drone,"₹20,000+",Camping Gear
34,Female,Anniversary,Productivity,Astrophotography,Researcher,Skincare Set,₹2000-₹5000,E-Reader
19,Other,Acheivement,Eco-friendly,Podcasting,Musician,Limited Edition Sneakers,"₹20,000+",Smartwatch
74,Female,Wedding,Books,Reading,Researcher,Luxury Pen,"₹5000-₹10,000",Jewelry
40,Non-binary,Wedding,Gaming,Car Collecting,Lawyer,Gift Card,₹100-₹500,Candle Set
39,Female,Birthday,Fashion,Meditation,Musician,Customized Notebook,"₹10,000-₹20,000",Action Figures
21,Female,Corporate,Science & Space,Painting,Pilot,Handbag,"₹5000-₹10,000",Action Figures
73,Female,Milestone Hitting,Art,Dancing,Therapist,Backpack,"₹5000-₹10,000",Succulent Plant Set
71,Female,Corporate,Music,Cooking,Scientist,Skincare Set,₹2000-₹5000,Action Figures
57,Female,Milestone Hitting,Fashion,Dancing,Business Owner,Backpack,₹100-₹500,Painting Kit
8,Non-binary,Baby Shower,Self-care,Archery,Doctor,Smartwatch,"₹10,000-₹20,000",Subscription Box
19,Female,Bachelorette,Art,Martial Arts,Fashion Designer,Sports Jersey,"₹10,000-₹20,000",Handbag
72,Female,Festival,Pets,Knitting,Therapist,Subscription Box,"₹5000-₹10,000",Sports Jersey
28,Male,Acheivement,Science & Space,Gardening,Fashion Designer,Coffee Maker,₹500-₹2000,DIY Craft Kit
65,Other,Farewell,Gourmet,Hiking,Lawyer,Skincare Set,"₹10,000-₹20,000",Board Game
25,Non-binary,Bachelorette,Science & Space,Reading,Business Owner,Skincare Set,₹500-₹2000,Drone
15,Male,Corporate,Luxury,Cooking,Business Owner,Smartwatch,"₹5000-₹10,000",Digital Drawing Tablet
57,Female,Acheivement,Spirituality,Archery,Doctor,Backpack,"₹20,000+",Gift Card
63,Male,Farewell,Music,Podcasting,Lawyer,Personalized Mug,₹100-₹500,Backpack
23,Non-binary,Acheivement,Music,Travel Blogging,Musician,Gaming Console,₹500-₹2000,Smart Speaker
16,Male,Baby Shower,Adventure,Robotics,Doctor,Gift Card,"₹10,000-₹20,000",Coffee Maker
36,Non-binary,Graduation,Productivity,Singing,Astronomer,Coffee Maker,₹500-₹2000,Gaming Console
67,Male,Bachelorette,Tech,Hiking,Actor,Shoes,"₹10,000-₹20,000",Personalized Mug
36,Female,Corporate,Travel,Podcasting,Politician,Handbag,₹500-₹2000,Board Game
44,Female,Appreciation,Art,Fishing,Scientist,Shoes,₹500-₹2000,Wireless Charger
51,Male,Milestone Hitting,Music,Podcasting,Engineer,Shoes,"₹10,000-₹20,000",DIY Craft Kit
32,Other,Graduation,Books,Hiking,Freelancer,Gaming Console,"₹20,000+",Laptop Stand
30,Non-binary,Baby Shower,Travel,Photography,Fashion Designer,Gaming Console,"₹10,000-₹20,000",Mini Projector
37,Female,Baby Shower,Home Decor,Podcasting,Therapist,Board Game,₹100-₹500,Fitness Tracker
40,Female,Acheivement,Self-care,Podcasting,Therapist,Backpack,₹500-₹2000,Smart Home Device
33,Male,Graduation,Pets,Knitting,Writer,Customized Notebook,₹500-₹2000,Leather Wallet
23,Non-binary,Retirement,Books,Woodworking,Stock Trader,Customized Notebook,₹2000-₹5000,Action Figures
64,Non-binary,Bachelorette,DIY,Writing,Designer,Perfume,"₹10,000-₹20,000",Gaming Console
31,Female,Baby Shower,Tech,Writing,Politician,Subscription Box,"₹20,000+",Fitness Tracker
61,Prefer not to say,Bachelorette,Pets,Singing,Fashion Designer,Backpack,"₹5000-₹10,000",Perfume
33,Other,Bachelorette,Travel,Woodworking,Doctor,Portable Speaker,"₹10,000-₹20,000",Drone
19,Other,Appreciation,Books,Sports,Athlete,Coffee Maker,"₹20,000+",Limited Edition Sneakers
67,Female,Retirement,Music,Sports,Therapist,Book,₹2000-₹5000,Fitness Tracker
48,Non-binary,Appreciation,Fitness,Writing,Chef,Book,"₹20,000+",Mini Projector
38,Other,Festival,Tech,Dancing,Musician,Candle Set,₹500-₹2000,Customized Notebook
57,Female,Success,Eco-friendly,Dancing,Athlete,Gift Card,₹500-₹2000,Gift Card
8,Non-binary,Bachelorette,Productivity,Sports,Student,Book,"₹20,000+",Personalized Mug
25,Prefer not to say,Anniversary,Travel,Calligraphy,Musician,Perfume,"₹20,000+",Concert Tickets
9,Male,Festival,Gaming,Calligraphy,Fashion Designer,Drone,"₹5000-₹10,000",Succulent Plant Set
32,Male,Housewarming,Home Decor,Photography,Chef,Smartwatch,"₹5000-₹10,000",Fitness Tracker
25,Female,Bachelorette,Pets,Painting,Psychologist,Drone,"₹20,000+",Sports Jersey
41,Other,Graduation,Home Decor,Gardening,Therapist,Skincare Set,"₹10,000-₹20,000",Skincare Set
29,Prefer not to say,Acheivement,Science & Space,Calligraphy,Chef,Book,₹500-₹2000,Succulent Plant Set
29,Male,Appreciation,Spirituality,Reading,Stock Trader,Shoes,₹2000-₹5000,Puzzle Set
17,Non-binary,Birthday,Books,Cooking,Stock Trader,Candle Set,"₹20,000+",Tea Collection Set
32,Female,Baby Shower,Gourmet,Cooking,Engineer,Jewelry,₹2000-₹5000,Coffee Maker
29,Female,Birthday,Pets,Writing,Researcher,Luxury Pen,"₹5000-₹10,000",Shoes
54,Male,Birthday,DIY,Hiking,Fashion Designer,VR Headset,₹100-₹500,Vinyl Records
73,Non-binary,Anniversary,Music,Woodworking,Actor,Perfume,"₹5000-₹10,000",Perfume
54,Prefer not to say,Farewell,Self-care,Dancing,Musician,Handbag,₹500-₹2000,Mini Projector
6,Non-binary,Anniversary,Anime & Comics,Singing,Doctor,Gift Card,"₹5000-₹10,000",Running Shoes
58,Prefer not to say,Bachelorette,Self-care,Sports,Chef,VR Headset,₹500-₹2000,Luxury Pen
21,Female,Milestone Hitting,Pets,Robotics,Teacher,Candle Set,₹2000-₹5000,Massage Gun
18,Female,Milestone Hitting,Gourmet,Baking,Doctor,Personalized Mug,"₹20,000+",Fitness Tracker
6,Female,Retirement,Adventure,Gaming,Entrepreneur,Sports Jersey,₹100-₹500,Sunglasses
52,Prefer not to say,Corporate,Science & Space,Martial Arts,Lawyer,Shoes,"₹10,000-₹20,000",Smart Home Device
42,Prefer not to say,Milestone Hitting,Pets,Reading,Therapist,Limited Edition Sneakers,₹100-₹500,Massage Gun
9,Other,Success,Collectibles,Reading,Musician,Fitness Tracker,₹100-₹500,Concert Tickets
44,Prefer not to say,Birthday,Travel,Car Collecting,Musician,Backpack,₹2000-₹5000,Personalized Mug
64,Female,Farewell,Fitness,Astrophotography,Actor,Subscription Box,"₹5000-₹10,000",Limited Edition Sneakers
27,Male,Bachelorette,Tech,Cooking,Psychologist,Concert Tickets,₹100-₹500,Fitness Tracker
7,Prefer not to say,Milestone Hitting,Self-care,Hiking,Engineer,Concert Tickets,₹500-₹2000,Subscription Box
47,Non-binary,Corporate,Music,Martial Arts,Writer,Sports Jersey,"₹10,000-₹20,000",Smart Speaker
33,Prefer not to say,Baby Shower,Fashion,Astrophotography,Biotechnologist,Backpack,"₹20,000+",Smart Home Device
8,Female,Anniversary,Gourmet,Gardening,Engineer,Personalized Mug,"₹20,000+",Gaming Console
18,Female,Acheivement,Self-care,Photography,Business Owner,Board Game,"₹20,000+",Backpack
49,Female,Success,Tech,Writing,Artist,Customized Notebook,₹500-₹2000,Vinyl Records
7,Female,Birthday,Pets,Meditation,Stock Trader,Gaming Console,"₹20,000+",Massage Gun
48,Prefer not to say,Success,Luxury,Gardening,Fashion Designer,Board Game,₹2000-₹5000,Leather Wallet
13,Prefer not to say,Baby Shower,Collectibles,Baking,Chef,Gift Card,"₹20,000+",Laptop Stand
67,Male,Milestone Hitting,Tech,Gaming,Chef,Luxury Pen,₹500-₹2000,Jewelry
42,Non-binary,Wedding,Productivity,Robotics,Freelancer,Coffee Maker,"₹20,000+",Action Figures
23,Female,Corporate,Science & Space,Fishing,Musician,Headphones,₹100-₹500,Gaming Console
36,Male,Acheivement,DIY,Reading,Engineer,Sports Jersey,₹500-₹2000,Gift Card
14,Prefer not to say,Milestone Hitting,Productivity,Dancing,Fashion Designer,Shoes,₹500-₹2000,Smart Home Device
78,Prefer not to say,Corporate,Travel,Knitting,Engineer,Sports Jersey,"₹5000-₹10,000",Digital Drawing Tablet
57,Other,Anniversary,Self-care,Astrophotography,Musician,Limited Edition Sneakers,"₹10,000-₹20,000",Painting Kit
36,Female,Acheivement,Art,Singing,Artist,Subscription Box,₹500-₹2000,Book
60,Other,Corporate,Spirituality,Singing,Therapist,Portable Speaker,₹2000-₹5000,Smartwatch
50,Prefer not to say,Festival,Eco-friendly,Astrophotography,Fashion Designer,Headphones,"₹5000-₹10,000",Puzzle Set
39,Female,Anniversary,Luxury,Hiking,Psychologist,Gift Card,"₹5000-₹10,000",Leather Wallet
6,Male,Farewell,Books,Robotics,Fashion Designer,Smartwatch,₹500-₹2000,Subscription Box
66,Other,Festival,Pets,Meditation,Chef,Headphones,₹500-₹2000,Drone
24,Female,Baby Shower,Pets,Cooking,Freelancer,Jewelry,₹100-₹500,Candle Set
63,Female,Farewell,Adventure,Martial Arts,Musician,Pet Accessories,"₹20,000+",Luxury Pen
46,Other,Milestone Hitting,Productivity,Gaming,Researcher,Wireless Charger,₹500-₹2000,Massage Gun
35,Other,Graduation,DIY,Meditation,Researcher,Headphones,"₹10,000-₹20,000",Wireless Charger
49,Prefer not to say,Corporate,Gourmet,Woodworking,Lawyer,Drone,"₹5000-₹10,000",Headphones
72,Male,Retirement,Eco-friendly,Cycling,Business Owner,Wireless Charger,"₹20,000+",Action Figures
67,Female,Corporate,Travel,Baking,Athlete,Coffee Maker,"₹5000-₹10,000",Backpack
32,Other,Farewell,Luxury,Calligraphy,Pilot,Jewelry,"₹20,000+",Wireless Charger
68,Male,Wedding,Anime & Comics,Robotics,Freelancer,Luxury Pen,₹2000-₹5000,Handbag
52,Non-binary,Bachelorette,Productivity,Fishing,Lawyer,Concert Tickets,"₹5000-₹10,000",Limited Edition Sneakers
8,Non-binary,Farewell,Collectibles,Reading,Researcher,Smartwatch,"₹20,000+",Comic Books
11,Prefer not to say,Baby Shower,Collectibles,Sports,Student,Jewelry,"₹5000-₹10,000",Sunglasses
57,Male,Bachelorette,Art,Astrophotography,Teacher,Candle Set,"₹10,000-₹20,000",Personalized Keychain
62,Prefer not to say,Anniversary,Books,Fishing,Freelancer,Coffee Maker,"₹5000-₹10,000",Drone
6,Other,Appreciation,Spirituality,Writing,Artist,Headphones,₹100-₹500,Handmade Soap Set
78,Prefer not to say,Bachelorette,Fashion,Travel Blogging,Politician,Board Game,₹2000-₹5000,DIY Craft Kit
76,Other,Appreciation,Tech,Travel Blogging,Researcher,Sunglasses,"₹10,000-₹20,000",Personalized Mug
64,Prefer not to say,Festival,Art,Astrophotography,Fashion Designer,Drone,₹500-₹2000,Running Shoes
8,Prefer not to say,Appreciation,Fitness,Hiking,Actor,Limited Edition Sneakers,₹2000-₹5000,Skincare Set
38,Female,Appreciation,DIY,Travel Blogging,Researcher,Backpack,₹100-₹500,Bluetooth Earbuds
18,Non-binary,Graduation,Gourmet,Robotics,Athlete,Pet Accessories,"₹20,000+",Customized Notebook
31,Female,Farewell,Eco-friendly,Archery,Actor,Board Game,₹500-₹2000,Comic Books
5,Prefer not to say,Corporate,Gourmet,Knitting,Veterinarian,Headphones,"₹20,000+",Limited Edition Sneakers
43,Male,Wedding,Adventure,Photography,Musician,Luxury Pen,"₹20,000+",Bluetooth Earbuds
50,Prefer not to say,Retirement,Gourmet,Robotics,Politician,Coffee Maker,₹500-₹2000,Subscription Box
61,Non-binary,Graduation,Eco-friendly,Robotics,Psychologist,Wireless Charger,₹100-₹500,Painting Kit
23,Female,Wedding,Pets,Fishing,Researcher,Luxury Pen,"₹10,000-₹20,000",Candle Set
8,Other,Graduation,Eco-friendly,Car Collecting,Veterinarian,Gaming Console,₹2000-₹5000,Cooking Kit
67,Male,Wedding,Pets,Cooking,Psychologist,Sports Jersey,"₹20,000+",Noise-Canceling Headphones
10,Female,Baby Shower,Gaming,Gardening,Engineer,Skincare Set,"₹10,000-₹20,000",Massage Gun
35,Prefer not to say,Retirement,Fitness,Yoga,Freelancer,Gift Card,"₹5000-₹10,000",Handbag
32,Other,Milestone Hitting,Science & Space,Podcasting,Scientist,Skincare Set,₹2000-₹5000,Candle Set
17,Male,Acheivement,Music,Writing,Business Owner,Book,₹500-₹2000,Skincare Set
45,Non-binary,Baby Shower,Travel,Robotics,Business Owner,Fitness Tracker,"₹20,000+",DIY Craft Kit
7,Female,Farewell,Spirituality,Podcasting,Fashion Designer,Jewelry,₹500-₹2000,E-Reader
11,Female,Success,Productivity,Painting,Entrepreneur,Headphones,"₹10,000-₹20,000",Succulent Plant Set
64,Other,Wedding,Music,Calligraphy,Entrepreneur,Personalized Mug,"₹10,000-₹20,000",Shoes
45,Prefer not to say,Graduation,Gourmet,Hiking,Astronomer,Smartwatch,"₹10,000-₹20,000",Gift Card
32,Female,Appreciation,Books,Gardening,Business Owner,Wireless Charger,₹500-₹2000,Backpack
22,Female,Appreciation,Gaming,Knitting,Freelancer,Smartwatch,₹500-₹2000,Concert Tickets
57,Male,Wedding,Music,Hiking,Doctor,Candle Set,₹500-₹2000,Painting Kit
16,Female,Farewell,Gourmet,Gaming,Politician,Wireless Charger,₹100-₹500,Gift Card
39,Female,Farewell,Eco-friendly,Archery,Entrepreneur,Sunglasses,₹2000-₹5000,Fitness Tracker
60,Female,Farewell,Pets,Baking,Veterinarian,Board Game,₹100-₹500,Puzzle Set
34,Other,Success,Gaming,Painting,Musician,Jewelry,"₹10,000-₹20,000",Personalized Keychain
10,Female,Anniversary,Luxury,Gaming,Stock Trader,Jewelry,₹2000-₹5000,Succulent Plant Set
48,Non-binary,Acheivement,Adventure,Yoga,Musician,Portable Speaker,"₹5000-₹10,000",Perfume
77,Other,Corporate,Home Decor,Astrophotography,Entrepreneur,Board Game,₹500-₹2000,Coffee Maker
19,Prefer not to say,Milestone Hitting,Pets,Writing,Lawyer,Pet Accessories,"₹20,000+",Succulent Plant Set
35,Prefer not to say,Bachelorette,Science & Space,Sports,Student,Subscription Box,"₹10,000-₹20,000",Noise-Canceling Headphones
42,Male,Birthday,Pets,Sports,Biotechnologist,Luxury Pen,₹2000-₹5000,Mini Projector
69,Male,Graduation,Anime & Comics,Photography,Doctor,Drone,"₹5000-₹10,000",DIY Craft Kit
56,Female,Corporate,Home Decor,Painting,Entrepreneur,Headphones,"₹10,000-₹20,000",DIY Craft Kit
37,Non-binary,Success,Travel,Robotics,Stock Trader,Luxury Pen,"₹20,000+",Mini Projector
64,Other,Success,DIY,Baking,Writer,Handbag,₹500-₹2000,Painting Kit
46,Male,Festival,Fitness,Martial Arts,Athlete,Gaming Console,"₹10,000-₹20,000",Succulent Plant Set
75,Non-binary,Graduation,Art,Dancing,Pilot,Jewelry,"₹10,000-₹20,000",Camping Gear
23,Other,Anniversary,Luxury,Meditation,Student,Shoes,"₹20,000+",Concert Tickets
50,Prefer not to say,Baby Shower,Gourmet,Baking,Astronomer,Coffee Maker,₹100-₹500,Smart Home Device
16,Male,Farewell,Anime & Comics,Woodworking,Artist,Luxury Pen,"₹20,000+",Smartwatch
50,Prefer not to say,Appreciation,Science & Space,Yoga,Fashion Designer,Portable Speaker,₹2000-₹5000,Skincare Set
80,Prefer not to say,Retirement,Tech,Travel Blogging,Fashion Designer,Backpack,₹100-₹500,Action Figures
6,Other,Birthday,Tech,Car Collecting,Business Owner,Wireless Charger,"₹10,000-₹20,000",Skincare Set
59,Prefer not to say,Farewell,Art,Meditation,Chef,Limited Edition Sneakers,₹2000-₹5000,Noise-Canceling Headphones
59,Prefer not to say,Farewell,Fashion,Meditation,Stock Trader,Personalized Mug,"₹10,000-₹20,000",Sports Jersey
71,Non-binary,Farewell,Pets,Reading,Politician,Luxury Pen,₹2000-₹5000,Skincare Set
49,Other,Wedding,DIY,Reading,Student,Jewelry,"₹20,000+",Tea Collection Set
73,Female,Corporate,Pets,Cooking,Scientist,Customized Notebook,₹2000-₹5000,Action Figures
29,Non-binary,Birthday,Fitness,Car Collecting,Scientist,Shoes,₹100-₹500,Personalized Keychain
42,Female,Birthday,Spirituality,Reading,Fashion Designer,Subscription Box,₹2000-₹5000,Action Figures
74,Prefer not to say,Birthday,Fashion,Dancing,Engineer,Wireless Charger,₹500-₹2000,Smart Home Device
10,Male,Success,DIY,Gaming,Artist,Portable Speaker,₹2000-₹5000,Skincare Set
23,Female,Festival,Productivity,Singing,Doctor,Luxury Pen,"₹10,000-₹20,000",Customized Notebook
10,Non-binary,Wedding,Productivity,Martial Arts,Chef,Gift Card,"₹5000-₹10,000",Mini Projector
